Period,Treatment,Player,Color,Partner,LeftLocation,LeftValue,RightLocation,RightValue,RangeTotal,RangeOverlap,Revenue,TotalCost,Profit,GraphLeftX,GraphLeftY,GraphMiddleX,GraphMiddleY,GraphRightX,GraphRightY,BlueCost,RedCost
1,A,1,Blue,2,0,0,0,0,0,0,0,0,0,-8,0,0,1,8,0,0.08,0.03,
1,A,2,Red,1,0,0,0,0,0,0,0,0,0,-8,0,0,1,8,0,0.08,0.03,
2,A,1,Blue,2,0,1,0,1,0,0,0,0,0,-8,0,0,1,8,0,0.08,0.03,
2,A,2,Red,1,0,1,0,1,0,0,0,0,0,-8,0,0,1,8,0,0.08,0.03,
3,A,1,Blue,2,0,1,2.23,0.72125,2.23,0,1.919194,0.198916,1.720278,-8,0,0,1,8,0,0.08,0.03,
3,A,2,Red,1,0,1,0,1,0,0,0,0,0,-8,0,0,1,8,0,0.08,0.03,
4,A,1,Blue,2,0,1,2.23,0.72125,2.23,0,1.919194,0.198916,1.720278,-8,0,0,1,8,0,0.08,0.03,
4,A,2,Red,1,0,1,0,1,0,0,0,0,0,-8,0,0,1,8,0,0.08,0.03,
5,A,1,Blue,2,0,1,2.23,0.72125,2.23,0,1.919194,0.198916,1.720278,-8,0,0,1,8,0,0.08,0.03,
5,A,2,Red,1,0,1,0,1,0,0,0,0,0,-8,0,0,1,8,0,0.08,0.03,
6,B,1,Blue,2,-1.52,0,2.99,0,4.51,2.34,1.137956,0.1017005,1.036256,-4,0,0,0.5,4,0,0.01,0.01,
6,B,2,Red,1,0,0,2.34,0,2.34,2.34,0.4138875,0.027378,0.3865095,-4,0,0,0.5,4,0,0.01,0.01,
7,B,1,Blue,2,-1.52,0.31,2.99,0.12625,4.51,2.34,1.137956,0.1017005,1.036256,-4,0,0,0.5,4,0,0.01,0.01,
7,B,2,Red,1,0,0.5,2.34,0.2075,2.34,2.34,0.4138875,0.027378,0.3865095,-4,0,0,0.5,4,0,0.01,0.01,
