Period,Treatment,Player,Color,Partner,LeftLocation,LeftValue,RightLocation,RightValue,RangeTotal,RangeOverlap,Revenue,TotalCost,Profit,GraphLeftX,GraphLeftY,GraphMiddleX,GraphMiddleY,GraphRightX,GraphRightY,BlueCost,RedCost
15,B,1,Blue,2,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
15,B,2,Red,1,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
16,B,1,Blue,2,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
16,B,2,Red,1,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
17,B,1,Blue,2,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
17,B,2,Red,1,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
18,B,1,Blue,2,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
18,B,2,Red,1,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
19,B,1,Blue,2,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
19,B,2,Red,1,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
20,B,1,Blue,2,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
20,B,2,Red,1,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
21,B,1,Blue,2,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
21,B,2,Red,1,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
22,B,1,Blue,2,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
22,B,2,Red,1,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
23,B,1,Blue,2,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
23,B,2,Red,1,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
