Period,Treatment,Player,Color,Partner,LeftLocation,LeftValue,RightLocation,RightValue,RangeTotal,RangeOverlap,Revenue,TotalCost,Profit,GraphLeftX,GraphLeftY,GraphMiddleX,GraphMiddleY,GraphRightX,GraphRightY,BlueCost,RedCost
1,A,1,Blue,2,-1,0,0.95,0,1.95,0,1.831094,0.1521,1.678994,-8,0,0,1,8,0,0.08,0.03,
1,A,2,Red,1,0,0,0,0,0,0,0,0,0,-8,0,0,1,8,0,0.08,0.03,
2,A,1,Blue,2,-1,0.875,0.95,0.88125,1.95,0,1.831094,0.1521,1.678994,-8,0,0,1,8,0,0.08,0.03,
2,A,2,Red,1,0,1,0,1,0,0,0,0,0,-8,0,0,1,8,0,0.08,0.03,
3,A,1,Blue,2,-1,0.875,0.95,0.88125,1.95,0,1.831094,0.1521,1.678994,-8,0,0,1,8,0,0.08,0.03,
3,A,2,Red,1,0,1,0,1,0,0,0,0,0,-8,0,0,1,8,0,0.08,0.03,
4,A,1,Blue,2,-1,0.875,0.95,0.88125,1.95,0,1.831094,0.1521,1.678994,-8,0,0,1,8,0,0.08,0.03,
4,A,2,Red,1,0,1,0,1,0,0,0,0,0,-8,0,0,1,8,0,0.08,0.03,
5,A,1,Blue,2,-1,0.875,0.95,0.88125,1.95,0,1.831094,0.1521,1.678994,-8,0,0,1,8,0,0.08,0.03,
5,A,2,Red,1,0,1,0,1,0,0,0,0,0,-8,0,0,1,8,0,0.08,0.03,
6,B,1,Blue,2,-1,0,1,0,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
6,B,2,Red,1,-1,0,1,0,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
7,B,1,Blue,2,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
7,B,2,Red,1,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
8,B,1,Blue,2,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
8,B,2,Red,1,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
9,B,1,Blue,2,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
9,B,2,Red,1,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
10,B,1,Blue,2,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
10,B,2,Red,1,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
11,B,1,Blue,2,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
11,B,2,Red,1,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
12,B,1,Blue,2,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
12,B,2,Red,1,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
13,B,1,Blue,2,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
13,B,2,Red,1,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
14,B,1,Blue,2,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
14,B,2,Red,1,-1,0.375,1,0.375,2,2,0.4375,0.02,0.4175,-4,0,0,0.5,4,0,0.01,0.01,
