Period,Treatment,Player,Color,Partner,LeftLocation,LeftValue,RightLocation,RightValue,RangeTotal,RangeOverlap,Revenue,TotalCost,Profit,GraphLeftX,GraphLeftY,GraphMiddleX,GraphMiddleY,GraphRightX,GraphRightY,BlueCost,RedCost
1,A,1,Blue,2,0,0,0.01,0,0.01,0.01,0.02531533,5E-05,0.02526533,-1.5,0,0,5.08,1.5,0,1,1,
1,A,2,Red,1,0,0,0.01,0,0.01,0.01,0.02531533,5E-05,0.02526533,-1.5,0,0,5.08,1.5,0,1,1,
2,A,1,Blue,2,0,5.08,0.19,4.436533,0.19,0.19,0.4520353,0.01805,0.4339854,-1.5,0,0,5.08,1.5,0,1,1,
2,A,2,Red,1,0,5.08,0.19,4.436533,0.19,0.19,0.4520353,0.01805,0.4339854,-1.5,0,0,5.08,1.5,0,1,1,
3,A,1,Blue,2,0,5.08,0.19,4.436533,0.19,0.19,0.4520353,0.01805,0.4339854,-1.5,0,0,5.08,1.5,0,1,1,
3,A,2,Red,1,0,5.08,0.19,4.436533,0.19,0.19,0.4520353,0.01805,0.4339854,-1.5,0,0,5.08,1.5,0,1,1,
4,A,1,Blue,2,0.18,4.4704,0.19,4.436533,0.00999999,0.00999999,0.02226731,4.99999E-05,0.02221731,-1.5,0,0,5.08,1.5,0,1,1,
4,A,2,Red,1,0.18,4.4704,0.19,4.436533,0.00999999,0.00999999,0.02226731,4.99999E-05,0.02221731,-1.5,0,0,5.08,1.5,0,1,1,
5,A,1,Blue,2,0.18,4.4704,0.19,4.436533,0.00999999,0.00999999,0.02226731,4.99999E-05,0.02221731,-1.5,0,0,5.08,1.5,0,1,1,
5,A,2,Red,1,0.18,4.4704,0.19,4.436533,0.00999999,0.00999999,0.02226731,4.99999E-05,0.02221731,-1.5,0,0,5.08,1.5,0,1,1,
6,A,1,Blue,2,0.18,4.4704,0.19,4.436533,0.00999999,0.00999999,0.02226731,4.99999E-05,0.02221731,-1.5,0,0,5.08,1.5,0,1,1,
6,A,2,Red,1,0.18,4.4704,0.19,4.436533,0.00999999,0.00999999,0.02226731,4.99999E-05,0.02221731,-1.5,0,0,5.08,1.5,0,1,1,
7,A,1,Blue,2,0.18,4.4704,0.19,4.436533,0.00999999,0.00999999,0.02226731,4.99999E-05,0.02221731,-1.5,0,0,5.08,1.5,0,1,1,
7,A,2,Red,1,0.18,4.4704,0.19,4.436533,0.00999999,0.00999999,0.02226731,4.99999E-05,0.02221731,-1.5,0,0,5.08,1.5,0,1,1,
8,A,1,Blue,2,0.18,4.4704,0.19,4.436533,0.00999999,0.00999999,0.02226731,4.99999E-05,0.02221731,-1.5,0,0,5.08,1.5,0,1,1,
8,A,2,Red,1,0.18,4.4704,0.19,4.436533,0.00999999,0.00999999,0.02226731,4.99999E-05,0.02221731,-1.5,0,0,5.08,1.5,0,1,1,
