Period,Treatment,Player,Color,Partner,LeftLocation,LeftValue,RightLocation,RightValue,RangeTotal,RangeOverlap,Revenue,TotalCost,Profit,GraphLeftX,GraphLeftY,GraphMiddleX,GraphMiddleY,GraphRightX,GraphRightY,BlueCost,RedCost
1,A,1,Blue,2,-0.59,0,0.78,0,1.37,1.07,3.122083,0.9384499,2.183633,-1.5,0,0,5.08,1.5,0,1,1,
1,A,2,Red,1,-0.44,0,0.63,0,1.07,1.07,2.217843,0.5724499,1.645393,-1.5,0,0,5.08,1.5,0,1,1,
2,A,1,Blue,2,-0.59,3.081867,0.78,2.4384,1.37,1.07,3.122083,0.9384499,2.183633,-1.5,0,0,5.08,1.5,0,1,1,
2,A,2,Red,1,-0.44,3.589867,0.63,2.9464,1.07,1.07,2.217843,0.5724499,1.645393,-1.5,0,0,5.08,1.5,0,1,1,
3,A,1,Blue,2,-0.59,3.081867,0.78,2.4384,1.37,1.07,3.122083,0.9384499,2.183633,-1.5,0,0,5.08,1.5,0,1,1,
3,A,2,Red,1,-0.44,3.589867,0.63,2.9464,1.07,1.07,2.217843,0.5724499,1.645393,-1.5,0,0,5.08,1.5,0,1,1,
4,A,1,Blue,2,-0.59,3.081867,0.78,2.4384,1.37,1.07,3.122083,0.9384499,2.183633,-1.5,0,0,5.08,1.5,0,1,1,
4,A,2,Red,1,-0.44,3.589867,0.63,2.9464,1.07,1.07,2.217843,0.5724499,1.645393,-1.5,0,0,5.08,1.5,0,1,1,
5,A,1,Blue,2,-0.59,3.081867,0.78,2.4384,1.37,1.07,3.122083,0.9384499,2.183633,-1.5,0,0,5.08,1.5,0,1,1,
5,A,2,Red,1,-0.44,3.589867,0.63,2.9464,1.07,1.07,2.217843,0.5724499,1.645393,-1.5,0,0,5.08,1.5,0,1,1,
6,A,1,Blue,2,-0.59,3.081867,0.78,2.4384,1.37,1.07,3.122083,0.9384499,2.183633,-1.5,0,0,5.08,1.5,0,1,1,
6,A,2,Red,1,-0.44,3.589867,0.63,2.9464,1.07,1.07,2.217843,0.5724499,1.645393,-1.5,0,0,5.08,1.5,0,1,1,
7,A,1,Blue,2,-0.59,3.081867,0.78,2.4384,1.37,1.07,3.122083,0.9384499,2.183633,-1.5,0,0,5.08,1.5,0,1,1,
7,A,2,Red,1,-0.44,3.589867,0.63,2.9464,1.07,1.07,2.217843,0.5724499,1.645393,-1.5,0,0,5.08,1.5,0,1,1,
8,A,1,Blue,2,-0.59,3.081867,0.78,2.4384,1.37,1.07,3.122083,0.9384499,2.183633,-1.5,0,0,5.08,1.5,0,1,1,
8,A,2,Red,1,-0.44,3.589867,0.63,2.9464,1.07,1.07,2.217843,0.5724499,1.645393,-1.5,0,0,5.08,1.5,0,1,1,
9,A,1,Blue,2,-0.59,3.081867,0.78,2.4384,1.37,1.07,3.122083,0.9384499,2.183633,-1.5,0,0,5.08,1.5,0,1,1,
9,A,2,Red,1,-0.44,3.589867,0.63,2.9464,1.07,1.07,2.217843,0.5724499,1.645393,-1.5,0,0,5.08,1.5,0,1,1,
10,A,1,Blue,2,-0.59,3.081867,0.78,2.4384,1.37,1.07,3.122083,0.9384499,2.183633,-1.5,0,0,5.08,1.5,0,1,1,
10,A,2,Red,1,-0.44,3.589867,0.63,2.9464,1.07,1.07,2.217843,0.5724499,1.645393,-1.5,0,0,5.08,1.5,0,1,1,
11,A,1,Blue,2,-0.59,3.081867,0.27,4.1656,0.86,0.71,2.078143,0.3698,1.708343,-1.5,0,0,5.08,1.5,0,1,1,
11,A,2,Red,1,-0.44,3.589867,0.63,2.9464,1.07,0.71,2.857923,0.5724499,2.285473,-1.5,0,0,5.08,1.5,0,1,1,
12,A,1,Blue,2,-0.59,3.081867,0.27,4.1656,0.86,0.71,2.078143,0.3698,1.708343,-1.5,0,0,5.08,1.5,0,1,1,
12,A,2,Red,1,-0.44,3.589867,0.63,2.9464,1.07,0.71,2.857923,0.5724499,2.285473,-1.5,0,0,5.08,1.5,0,1,1,
13,A,1,Blue,2,-0.59,3.081867,0.27,4.1656,0.86,0.71,2.078143,0.3698,1.708343,-1.5,0,0,5.08,1.5,0,1,1,
13,A,2,Red,1,-0.44,3.589867,0.63,2.9464,1.07,0.71,2.857923,0.5724499,2.285473,-1.5,0,0,5.08,1.5,0,1,1,
14,A,1,Blue,2,-0.59,3.081867,0.27,4.1656,0.86,0.71,2.078143,0.3698,1.708343,-1.5,0,0,5.08,1.5,0,1,1,
14,A,2,Red,1,-0.44,3.589867,0.63,2.9464,1.07,0.71,2.857923,0.5724499,2.285473,-1.5,0,0,5.08,1.5,0,1,1,
15,A,1,Blue,2,-0.59,3.081867,0.27,4.1656,0.86,0.71,2.078143,0.3698,1.708343,-1.5,0,0,5.08,1.5,0,1,1,
15,A,2,Red,1,-0.44,3.589867,0.63,2.9464,1.07,0.71,2.857923,0.5724499,2.285473,-1.5,0,0,5.08,1.5,0,1,1,
16,A,1,Blue,2,-0.59,3.081867,0.27,4.1656,0.86,0.71,2.078143,0.3698,1.708343,-1.5,0,0,5.08,1.5,0,1,1,
16,A,2,Red,1,-0.44,3.589867,0.63,2.9464,1.07,0.71,2.857923,0.5724499,2.285473,-1.5,0,0,5.08,1.5,0,1,1,
17,A,1,Blue,2,-0.59,3.081867,0.27,4.1656,0.86,0.71,2.078143,0.3698,1.708343,-1.5,0,0,5.08,1.5,0,1,1,
17,A,2,Red,1,-0.44,3.589867,0.63,2.9464,1.07,0.71,2.857923,0.5724499,2.285473,-1.5,0,0,5.08,1.5,0,1,1,
18,A,1,Blue,2,-0.59,3.081867,0.27,4.1656,0.86,0.71,2.078143,0.3698,1.708343,-1.5,0,0,5.08,1.5,0,1,1,
18,A,2,Red,1,-0.44,3.589867,0.63,2.9464,1.07,0.71,2.857923,0.5724499,2.285473,-1.5,0,0,5.08,1.5,0,1,1,
19,A,1,Blue,2,-0.59,3.081867,0.27,4.1656,0.86,0.71,2.078143,0.3698,1.708343,-1.5,0,0,5.08,1.5,0,1,1,
19,A,2,Red,1,-0.44,3.589867,0.63,2.9464,1.07,0.71,2.857923,0.5724499,2.285473,-1.5,0,0,5.08,1.5,0,1,1,
20,A,1,Blue,2,-0.59,3.081867,0.27,4.1656,0.86,0.71,2.078143,0.3698,1.708343,-1.5,0,0,5.08,1.5,0,1,1,
20,A,2,Red,1,-0.44,3.589867,0.63,2.9464,1.07,0.71,2.857923,0.5724499,2.285473,-1.5,0,0,5.08,1.5,0,1,1,
21,B,1,Blue,2,-0.85,0,0.57,0,1.42,0.57,2.595827,1.0082,1.587627,-1.15,0,0,3.46,1.15,0,1,1,
21,B,2,Red,1,0,0,0.62,0,0.62,0.57,0.82521,0.1922,0.63301,-1.15,0,0,3.46,1.15,0,1,1,
22,B,1,Blue,2,-0.85,0.9026086,0.57,1.745044,1.42,0.57,2.595827,1.0082,1.587627,-1.15,0,0,3.46,1.15,0,1,1,
22,B,2,Red,1,0,3.46,0.62,1.594609,0.62,0.57,0.82521,0.1922,0.63301,-1.15,0,0,3.46,1.15,0,1,1,
23,B,1,Blue,2,-0.85,0.9026086,0.57,1.745044,1.42,0.57,2.595827,1.0082,1.587627,-1.15,0,0,3.46,1.15,0,1,1,
23,B,2,Red,1,0,3.46,0.62,1.594609,0.62,0.57,0.82521,0.1922,0.63301,-1.15,0,0,3.46,1.15,0,1,1,
24,B,1,Blue,2,-0.85,0.9026086,0.57,1.745044,1.42,0.06,3.282487,1.0082,2.274287,-1.15,0,0,3.46,1.15,0,1,1,
24,B,2,Red,1,0.51,1.925565,0.62,1.594609,0.11,0.06,0.1385505,0.006050001,0.1325005,-1.15,0,0,3.46,1.15,0,1,1,
25,B,1,Blue,2,-0.85,0.9026086,0.57,1.745044,1.42,0.06,3.282487,1.0082,2.274287,-1.15,0,0,3.46,1.15,0,1,1,
25,B,2,Red,1,0.51,1.925565,1.15,0,0.64,0.06,0.5611217,0.2048,0.3563217,-1.15,0,0,3.46,1.15,0,1,1,
26,B,1,Blue,2,-0.85,0.9026086,0.57,1.745044,1.42,0.06,3.282487,1.0082,2.274287,-1.15,0,0,3.46,1.15,0,1,1,
26,B,2,Red,1,0.51,1.925565,1.15,0,0.64,0.06,0.5611217,0.2048,0.3563217,-1.15,0,0,3.46,1.15,0,1,1,
27,B,1,Blue,2,-0.85,0.9026086,0.57,1.745044,1.42,0.06,3.282487,1.0082,2.274287,-1.15,0,0,3.46,1.15,0,1,1,
27,B,2,Red,1,0.51,1.925565,1.15,0,0.64,0.06,0.5611217,0.2048,0.3563217,-1.15,0,0,3.46,1.15,0,1,1,
28,B,1,Blue,2,-0.85,0.9026086,0.57,1.745044,1.42,0.06,3.282487,1.0082,2.274287,-1.15,0,0,3.46,1.15,0,1,1,
28,B,2,Red,1,0.51,1.925565,1.15,0,0.64,0.06,0.5611217,0.2048,0.3563217,-1.15,0,0,3.46,1.15,0,1,1,
29,B,1,Blue,2,-0.85,0.9026086,0.57,1.745044,1.42,0.06,3.282487,1.0082,2.274287,-1.15,0,0,3.46,1.15,0,1,1,
29,B,2,Red,1,0.51,1.925565,1.15,0,0.64,0.06,0.5611217,0.2048,0.3563217,-1.15,0,0,3.46,1.15,0,1,1,
30,B,1,Blue,2,-0.85,0.9026086,0.57,1.745044,1.42,0.06,3.282487,1.0082,2.274287,-1.15,0,0,3.46,1.15,0,1,1,
30,B,2,Red,1,0.51,1.925565,1.15,0,0.64,0.06,0.5611217,0.2048,0.3563217,-1.15,0,0,3.46,1.15,0,1,1,
31,B,1,Blue,2,-0.85,0.9026086,0.57,1.745044,1.42,0.06,3.282487,1.0082,2.274287,-1.15,0,0,3.46,1.15,0,1,1,
31,B,2,Red,1,0.51,1.925565,1.15,0,0.64,0.06,0.5611217,0.2048,0.3563217,-1.15,0,0,3.46,1.15,0,1,1,
32,B,1,Blue,2,-0.85,0.9026086,0.57,1.745044,1.42,0.06,3.282487,1.0082,2.274287,-1.15,0,0,3.46,1.15,0,1,1,
32,B,2,Red,1,0.51,1.925565,1.15,0,0.64,0.06,0.5611217,0.2048,0.3563217,-1.15,0,0,3.46,1.15,0,1,1,
33,B,1,Blue,2,-0.85,0.9026086,0.57,1.745044,1.42,0.06,3.282487,1.0082,2.274287,-1.15,0,0,3.46,1.15,0,1,1,
33,B,2,Red,1,0.51,1.925565,1.15,0,0.64,0.06,0.5611217,0.2048,0.3563217,-1.15,0,0,3.46,1.15,0,1,1,
34,B,1,Blue,2,-0.85,0.9026086,0.57,1.745044,1.42,0.06,3.282487,1.0082,2.274287,-1.15,0,0,3.46,1.15,0,1,1,
34,B,2,Red,1,0.51,1.925565,1.15,0,0.64,0.06,0.5611217,0.2048,0.3563217,-1.15,0,0,3.46,1.15,0,1,1,
35,B,1,Blue,2,-0.85,0.9026086,0.57,1.745044,1.42,0.06,3.282487,1.0082,2.274287,-1.15,0,0,3.46,1.15,0,1,1,
35,B,2,Red,1,0.51,1.925565,1.15,0,0.64,0.06,0.5611217,0.2048,0.3563217,-1.15,0,0,3.46,1.15,0,1,1,
36,B,1,Blue,2,-0.85,0.9026086,0.57,1.745044,1.42,0.06,3.282487,1.0082,2.274287,-1.15,0,0,3.46,1.15,0,1,1,
36,B,2,Red,1,0.51,1.925565,1.15,0,0.64,0.06,0.5611217,0.2048,0.3563217,-1.15,0,0,3.46,1.15,0,1,1,
37,B,1,Blue,2,-0.85,0.9026086,0.57,1.745044,1.42,0.06,3.282487,1.0082,2.274287,-1.15,0,0,3.46,1.15,0,1,1,
37,B,2,Red,1,0.51,1.925565,1.15,0,0.64,0.06,0.5611217,0.2048,0.3563217,-1.15,0,0,3.46,1.15,0,1,1,
38,B,1,Blue,2,-0.85,0.9026086,0.57,1.745044,1.42,0.06,3.282487,1.0082,2.274287,-1.15,0,0,3.46,1.15,0,1,1,
38,B,2,Red,1,0.51,1.925565,1.15,0,0.64,0.06,0.5611217,0.2048,0.3563217,-1.15,0,0,3.46,1.15,0,1,1,
