Period,Treatment,Player,Color,Partner,LeftLocation,LeftValue,RightLocation,RightValue,RangeTotal,RangeOverlap,Revenue,TotalCost,Profit,GraphLeftX,GraphLeftY,GraphMiddleX,GraphMiddleY,GraphRightX,GraphRightY,BlueCost,RedCost
1,A,1,Blue,7,0,0,6.95,0,6.95,0,3.931094,1.9321,1.998994,-8,0,0,1,8,0,0.08,0.03,
1,A,2,Blue,8,0,0,2.26,0,2.26,0,1.940775,0.204304,1.736471,-8,0,0,1,8,0,0.08,0.03,
1,A,3,Blue,5,-8,0,0,0,8,0,4,2.56,1.44,-8,0,0,1,8,0,0.08,0.03,
1,A,4,Blue,6,-8,0,0,0,8,0,4,2.56,1.44,-8,0,0,1,8,0,0.08,0.03,
1,A,5,Red,3,0,0,0.01,0,0.01,0,0.00999375,1.5E-06,0.009992249,-8,0,0,1,8,0,0.08,0.03,
1,A,6,Red,4,0,0,0.01,0,0.01,0,0.00999375,1.5E-06,0.009992249,-8,0,0,1,8,0,0.08,0.03,
1,A,7,Red,1,-8,0,0,0,8,0,4,0.96,3.04,-8,0,0,1,8,0,0.08,0.03,
1,A,8,Red,2,-8,0,0,0,8,0,4,0.96,3.04,-8,0,0,1,8,0,0.08,0.03,
2,A,1,Blue,7,-8,0,-7.99,0.001250029,0.01000023,0,6.250286E-06,4.000183E-06,2.250104E-06,-8,0,0,1,8,0,0.08,0.03,
2,A,2,Blue,8,-1.15,0.85625,-1.14,0.8575,0.00999999,0,0.008568742,3.999992E-06,0.008564742,-8,0,0,1,8,0,0.08,0.03,
2,A,3,Blue,5,-0.01,0.99875,0,1,0.01,0.01,0.004996875,4E-06,0.004992875,-8,0,0,1,8,0,0.08,0.03,
2,A,4,Blue,6,-0.01,0.99875,0,1,0.01,0.01,0.004996875,4E-06,0.004992875,-8,0,0,1,8,0,0.08,0.03,
2,A,5,Red,3,-8,0,0.01,0.99875,8.01,0.01,4.004997,0.9624015,3.042595,-8,0,0,1,8,0,0.08,0.03,
2,A,6,Red,4,-3.1,0.6125,0.01,0.99875,3.11,0.01,2.504372,0.1450815,2.35929,-8,0,0,1,8,0,0.08,0.03,
2,A,7,Red,1,-0.01,0.99875,0,1,0.01,0,0.00999375,1.5E-06,0.009992249,-8,0,0,1,8,0,0.08,0.03,
2,A,8,Red,2,-0.01,0.99875,0,1,0.01,0,0.00999375,1.5E-06,0.009992249,-8,0,0,1,8,0,0.08,0.03,
3,A,1,Blue,7,-8,0,6.62,0.1725,14.62,4.72,6.836675,8.549776,-1.713101,-8,0,0,1,8,0,0.08,0.03,
3,A,2,Blue,8,-1.15,0.85625,4.34,0.4575,5.49,0,4.230119,1.205604,3.024515,-8,0,0,1,8,0,0.08,0.03,
3,A,3,Blue,5,-0.01,0.99875,0,1,0.01,0,0.00999375,4E-06,0.00998975,-8,0,0,1,8,0,0.08,0.03,
3,A,4,Blue,6,-0.01,0.99875,0,1,0.01,0.01,0.004996875,4E-06,0.004992875,-8,0,0,1,8,0,0.08,0.03,
3,A,5,Red,3,-8,0,-1.26,0.8425,6.74,0,2.839225,0.6814139,2.157811,-8,0,0,1,8,0,0.08,0.03,
3,A,6,Red,4,-5.53,0.30875,4.2,0.475,9.73,0.01,6.711196,1.420093,5.291103,-8,0,0,1,8,0,0.08,0.03,
3,A,7,Red,1,-6.82,0.1475,-2.1,0.7375,4.72,4.72,1.0443,0.334176,0.710124,-8,0,0,1,8,0,0.08,0.03,
